country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,1.16,1.12,1.43,,1.3,,,,1.74,1.84,1.91,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48,3.46,2.6,3.45,3.7,3.26,4.23,4.06,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,3.45,3.81,3.08,3.38,3.54,3.59,3.43,3.46,3.12,3.14,3.23,3.28,3.19,3.28,,,,,,3.54,,3.44,3.96,3.61,,
Algeria,,,,,,,,,,7.18,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.34,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,,,,,1.66,,1.54,1.64,2.24,2.1,2.87,3.14,2.98,2.99,,2.51,3.07,3.28,3.24,3.22,3.25,3.15
Angola,,,,,,,,,,,,,,,,4.09,5.72,5.06,,,,,,,,,,,2.57,,2.61,,,,,2.12,2.28,,,,3.42,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,3.39,,,,,,,2.52,,,,,,,,,,
Argentina,1.46,,1.94,1.78,1.92,1.84,1.17,1.72,1.94,2.4,2.61,,1.6,1.62,2.57,1.36,1.26,1.28,,1.05,1.07,,,,,,3.73,,4.04,4.52,4.58,4.83,4.02,3.54,3.49,3.86,4.13,4.46,4.84,5.53,5.02,5.29,5.35,5.44,5.36,5.78,5.55,5.46,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,,,2.24,2.77,2.47,2.14,2.15,2.49,2.71,2.72,3.02,3.17,3.84,3.25,3.14,2.77,2.65,2.25,2.81,2.76,2.71,,
Australia,,,,,,,,,6.01,5.9,5.65,,5.48,5.37,,5.41,5.28,5.07,4.92,4.75,4.68,4.79,4.69,5.52,5.25,5.14,5.24,,,,4.89,,,,,4.91,4.75,4.66,4.64,5.09,5.55,5.07,4.87,5.23,5.16,5.31,5.28,5.12,,
Austria,4.15,4.28,4.45,4.52,4.66,5.13,5.24,4.95,5.16,5.04,5.01,5.37,5.36,5.3,5.29,5.3,5.5,5.38,5.19,5.02,4.96,5.1,5.3,5.25,,5.43,5.26,,6.1,6.11,5.59,5.58,5.52,5.36,5.3,5.25,5.23,5.15,5.26,5.73,5.7,5.59,5.48,5.55,5.45,5.46,5.48,5.36,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,6.06,,,3.34,3.51,,3.38,4.21,3.85,3.5,3.15,3.29,3.45,2.97,2.56,2.55,2.44,3.22,2.78,2.44,2.07,2.44,2.63,2.95,2.9,2.47,2.46,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87,2.58,2.5,,,,2.65,2.48,2.47,2.67,,2.33,,
Bangladesh,,,,,,,,,,1.13,0.938,1.07,1.01,1.03,1.22,1.27,1.34,1.51,,,1.52,1.43,1.63,1.69,,,,1.95,,2.13,2.13,2.17,2.02,2.07,1.94,,2.13,2.2,2.05,1.94,,2.13,2.18,1.97,,,1.54,,,1.33
Barbados,,,,,,,5.94,6.52,,,,,,,,,,,,,,6.64,,,,,,,,4.34,4.72,6.06,5.88,6.25,6.02,5.67,,5.22,4.92,5.12,6.05,,5.26,5.15,6.14,,4.95,4.37,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6.2,,,,5.71,5.87,6.08,5.15,,4.37,5.22,4.68,4.96,5.01,4.82,4.79,4.95,4.79,,
Belgium,,,,,,5.76,5.73,5.99,5.44,5.38,5.31,5.44,5.32,,,,4.85,4.58,4.3,,,,,5.37,5.41,2.99,3.05,,,,,,,,,5.8,,,6.33,6.46,6.44,6.43,,6.63,6.59,6.45,6.46,6.41,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44,5.03,5.8,,5.25,5.34,,,,5.77,6.18,6.72,,,6.43,6.61,6.89,7.28,7.51,7.56,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,1.92,2.11,2.37,2.16,2.28,2.57,2.66,2.56,2.36,2.78,3.09,3.68,,3.56,3.33,3.16,3.17,2.9,3.54,2.93,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.51,5.92,,,6.61,7.29,,,4.91,4.74,4.12,4.77,,5.72,6.04,7.59,6.99,7.23,6.85,
Botswana,,4.39,3.91,3.26,3.67,5.65,6.06,5.4,5.95,6.14,5.47,,,5.55,5.55,5.65,5.19,6.12,6.15,,5.74,,6.84,,,,,,,,,,,,,10.7,,8.85,,9.63,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,4.57,,,4.76,3.8,3.95,3.84,3.75,,3.97,4.48,4.87,4.97,5.27,5.46,5.65,5.74,5.86,5.84,5.95,6.24,6.31,6.32,,
